"entry","entry href","field-content","field-content 2"
"Glenlola Collegiate [Bangor]","https://www.eani.org.uk/parents/types-of-school/school-type/post-primary/glenlola-collegiate-bangor","2 Valentine Road, Bangor, Co Down, BT20 4TH","Post-Primary"
"Glenn and Barr PG [Newry]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/glenn-and-barr-pg-newry","School Road, Jerrettspass, Newry, Co Armagh, BT34 1SX","Pre-School"
"Gleno Pre School PG [Larne]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/gleno-pre-school-pg-larne","Young Farmers Hall, 15 Gleno Village, Gleno, Larne, Co Antrim, BT40 3LG","Pre-School"
"Glenravel Community PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/glenravel-community-pg","Unit 1 - Glenravel Community Complex, 143 Glenravel Road, Cargan, Ballymena, Co Antrim, BT43 6RA","Pre-School"
"Glenveagh School","https://www.eani.org.uk/parents/types-of-school/school-type/special-school/glenveagh-school-0","Haberton Park, BELFAST, CO ANTRIM, BT9 6TX","Special School"
"Glenview Pre School Centre PG [Maghera]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/glenview-pre-school-centre-pg-maghera","62 Tirkane Road Maghera, Co Londonderry, BT46 5AG","Pre-School"
"Glenwood PS [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/glenwood-ps-belfast","4-22 Upper Riga Street, Belfast, Co. Antrim, BT13 3GW","Primary"
"Glynn PS [Larne]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/glynn-ps-larne","26 Main Road, Glynn, Larne, Co. Antrim, BT40 3HF","Primary"
"Good Shepherd Nursery School [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/good-shepherd-nursery-school-belfast","11 Good Shepherd Road, Dunmurry, Belfast, Co Antrim, BT17 0PL","Pre-School"
"Good Shepherd PS [Belfast]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/good-shepherd-ps-belfast","9 Good Shepherd Road, Poleglass, Dunmurry, Belfast, Co. Antrim, BT17 0PJ","Primary"
"Good Shepherd PS [Derry]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/good-shepherd-ps-derry","42 Dungiven Road, Waterside, Londonderry, Co. Londonderry, BT47 6BW","Primary"
"Good Shepherd PS NU [Derry]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/good-shepherd-ps-nu-derry","42 Dungiven Road, Waterside, Derry, Co Londonderry, BT47 1BW","Pre-School"
"Gorran PS [Coleraine]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gorran-ps-coleraine","2 Gorran Road, Blackhill, Coleraine, Co. Londonderry, BT51 4HA","Primary"
"Gortin PS [Omagh]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gortin-ps-omagh","9 Plumbridge Road, Gortin, Omagh, Co. Tyrone, BT79 8QB","Primary"
"Gracehill and Galgorm Community PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/gracehill-and-galgorm-community-pg","The Community Centre, 3 Raphael Way, Galgorm, Ballymena, Co Antrim, BT42 1GQ","Pre-School"
"Gracehill PS [Ballymena]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/gracehill-ps-ballymena","19 Church Road, Gracehill, Ballymena, Co. Antrim, BT42 2NL","Primary"
"Gracehill PS NU [Ballymena]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/gracehill-ps-nu-ballymena","19 Church Road, Gracehill, Ballymena, Co Antrim, BT42 2NL","Pre-School"
"Gran Tots PG [Swatragh]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/gran-tots-pg-swatragh","15d Main Street, Swatragh, Maghera, Co Londonderry, BT46 5QB","Pre-School"
"Grange Park PS [Bangor]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/grange-park-ps-bangor","Grange Park, Bangor, Co. Down, BT20 3QG","Primary"
"Grange PS [Newry]","https://www.eani.org.uk/parents/types-of-school/school-type/primary/grange-ps-newry","20 Lurganconary Road, Kilkeel, Newry, Co. Down, BT34 4LL","Primary"
"Green Elves PG [Omagh]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/green-elves-pg-omagh","Old School House, 277 Crockanboy Road, Greencastle, Co Tyrone, BT79 7QP","Pre-School"
"Greendale Day Nursery PG [Newtownabbey]","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/greendale-day-nursery-pg-newtownabbey","633 Antrim Road, Newtownabbey, Co Antrim, BT36 4RF","Pre-School"
"Greengables Pre School PG","https://www.eani.org.uk/parents/types-of-school/school-type/pre-school/greengables-pre-school-pg","Class 4, Central Integrated Primary School, Thomas Street, Carrickfergus, Co Antrim, BT38 8AL","Pre-School"
